iso,code,country,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.1.1...13,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.1,B.3.5.2,B.3.5.3
KHM,116,Cambodia,25.61429187,78.7,39.2,75.83,73.8,2.695477988,13.8,51,80.8,0,25.61429187,70.79082652,7533.068202,34.27582971,11.2,41.4,49.4,0,95.953,NA,31,26.4,49.1
KIR,296,Kiribati,10.64085586,57.5,40.1,118,95.4,54.63695385,NA,NA,NA,0,10.64085586,77.17297337,NA,NA,6.5,80.1,19.8,0,NA,NA,0,NA,57
KNA,659,Saint Kitts and Nevis,NA,NA,NA,NA,NA,3.7516176,NA,NA,NA,0,NA,NA,461.219156,5.176,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,410,South Korea,25.03942539,0.2,57.9,64,15.9,2.947424446,32.8,11.3,42.1,0.037251779,25.03942539,NA,1262.608784,369.7358443,100,100,100,76.8,33.18,0.422,16,78.6,54.2
KWT,414,Kuwait,60.74515954,0.2,62.1,118,0,8.181655022,NA,NA,48.4,NA,60.74515954,100,0,1059.48,98.7,91.1,72.2,43.1,32.923,NA,9.2,91.6,70.2
LAO,418,Laos,25.10953834,93.4,42.1,55.17,77.3,0,13.6,43,44.6,0.68867942,25.10953834,85.09982632,27383.74099,NA,9.4,40.3,2.4,0,90.343,NA,29.6,6.4,57.6
LBN,422,Lebanon,30.62111051,0.3,49.6,54.67,63.9,0.433024162,33.1,100,NA,0,30.62111051,92.6,703.877028,286.3648485,80.3,63.1,71.1,38.2,65.618,NA,13.5,84.6,34.2
LBR,430,Liberia,17.98411246,94.9,41.2,89.5,100,0.301642932,11.2,36.9,53.4,0,17.98411246,75.16022345,42533.0652,NA,11.4,48.9,16.6,0,NA,NA,17.2,42,57.2
LBY,434,Libya,54.25468179,0.4,53.4,73.67,NA,0.529163592,NA,NA,NA,0,54.25468179,99.8915238,106.3712908,9.841936047,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCA,662,Saint Lucia,22.40081712,3.3,21.9,NA,60.5,1.561104212,47.9,NA,100,0,22.40081712,96.88750169,1657.870741,133.2233333,53.7,36.9,36.5,0.9,NA,NA,66.6,NA,46.8
LIE,438,Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LKA,144,Sri Lanka,11.09961724,61.4,40.7,41.83,80.2,2.134193,34.1,40.7,100,0,11.09961724,92.21602355,2462.227196,138.2963255,27.3,64.5,41.8,0,73.923,NA,41.6,72.8,46.1
LSO,426,Lesotho,28.02865352,55.2,42.7,64.67,70.5,NA,44,54,100,0,28.02865352,71.83413493,2500.559399,NA,10,43.3,44.7,0.3,95.996,NA,10.6,94.3,43.5
LTU,440,Lithuania,11.85328236,3.8,34.7,118,24.9,1.219360815,21.4,64.4,41.9,0,11.85328236,98.0014748,5465.98204,133.5167849,64.7,97.3,95.9,51.4,48.06,0.527,33.7,90.7,53.2
LUX,442,Luxembourg,10.3646374,0.2,42.7,72.83,7.3,0,30.7,100,NA,0,10.3646374,99.87670531,1676.906979,234.6813923,100,100,100,98.5,19.73,0.837,64.6,NA,48.5
LVA,428,Latvia,13.42645752,7.6,36.5,86.83,35.3,1.905865558,18.2,43.2,58.2,0,13.42645752,98.7313614,8721.852204,101.1528958,55.2,100,89.7,90.7,55.309,0.788,31.9,75.9,59.4
MAC,446,Macao,NA,NA,NA,NA,NA,37.49866585,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,504,Morocco,32.59354146,2.8,51.7,79.67,69.9,0.205398451,35.8,70.3,100,0.117175408,32.59354146,89.10411331,815.0358488,74.93452311,44.6,97,64,5.4,81.021,NA,45.8,80.7,51.1
MCO,492,Monaco,NA,NA,NA,NA,NA,25.25812405,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
